# Id_interactions,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,label
22448,1251112,203,3,65,0,26,12,0,6,0,3,0,0,1,1,1
22522,287466,8,2,0,0,0,0,4,1,0,0,0,0,0,2,1
22586,90649,9,3,0,0,0,0,36,0,0,0,0,0,0,2,1
22682,131890,2,0,41,1,0,0,13,2,0,0,0,0,0,1,1
23222,190279,4,0,35,3,0,0,6,0,0,0,0,0,0,1,1
23531,73381,22,0,3,0,0,2,0,0,0,0,0,0,0,8,1
24749,310954,0,1,0,0,0,0,35,4,0,0,0,0,0,4,1
25405,155607,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
25406,155602,5,1,0,0,0,0,5,0,0,0,0,0,0,1,1
26308,352862,62,1,22,0,14,1,0,4,0,1,0,0,0,1,1
29573,98632,3,0,39,0,0,16,0,0,2,0,0,3,0,1,1
29851,463021,131,21,160,12,0,0,12,1,0,0,0,0,0,2,1
9372,158261,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1
9373,511976,13,0,58,0,0,2,0,0,0,0,0,0,0,1,1
9374,358341,63,0,18,0,2,0,0,0,0,0,0,0,0,11,1
9375,237370,0,0,0,0,0,0,30,0,0,0,0,0,0,5,1
9376,181536,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1
9377,237370,0,0,0,0,0,0,30,0,0,0,0,0,0,5,1
9380,260563,2,50,0,23,0,11,0,7,0,11,0,0,0,13,1
9381,256013,0,0,4,0,0,0,4,0,0,0,3,0,0,1,1
9382,516627,15,0,60,0,0,2,0,0,0,0,0,0,0,1,1
9383,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9385,195488,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9387,228076,7,0,3,0,0,0,0,0,0,0,0,0,7,2,1
9388,242053,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9389,209412,0,8,0,17,0,8,0,6,0,11,0,0,0,13,1
9390,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9391,288583,4,0,0,0,17,0,0,0,0,3,0,0,0,3,1
9392,302566,0,0,0,0,7,0,0,0,0,1,0,0,0,1,1
9393,237397,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1
9394,260658,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9396,423584,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9398,777339,0,37,0,0,6,0,0,0,0,1,0,0,0,2,1
9399,386212,4,0,26,0,0,9,0,0,4,0,0,108,0,2,1
9400,763374,0,37,0,0,6,0,0,0,0,1,0,0,0,2,1
9401,423584,2,0,18,0,0,0,0,0,0,0,0,0,0,1,1
9402,256006,1,0,0,0,0,0,14,0,0,0,0,0,0,4,1
9403,148937,0,0,21,0,0,0,0,0,0,0,0,0,0,2,1
9404,204798,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9406,260673,0,0,0,0,1,0,0,0,0,3,0,0,0,3,1
9408,134988,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9409,214076,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1
9410,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9411,237336,0,8,0,20,0,11,0,6,0,11,0,0,0,13,1
9413,134988,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
9414,256010,0,0,0,0,0,0,12,0,0,0,0,0,0,3,1
9416,242053,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1
9424,148958,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
9425,311853,0,0,0,0,0,0,30,0,0,0,0,0,0,2,1
9426,1000760,0,55,0,0,7,0,0,0,0,1,0,0,0,2,1
9427,223421,1,0,0,0,0,0,14,0,0,0,0,0,0,4,1
9428,223430,0,0,1,0,0,0,5,0,0,0,1,0,0,3,1
9429,446680,164,16,0,0,13,1,0,0,0,1,0,0,0,5,1
9430,167571,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1
9438,214108,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9439,344444,14,0,0,0,0,0,9,2,0,0,0,0,0,1,1
9440,344444,14,0,0,0,0,0,9,2,0,0,0,0,0,1,1
9441,176868,8,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9443,349104,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9444,418929,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9446,418929,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9452,437549,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9453,279260,5,0,0,0,0,0,2,0,0,0,0,0,30,3,1
9454,274631,9,0,3,0,0,0,0,0,0,0,0,0,0,2,1
9455,423584,1,0,2,0,0,0,14,0,0,0,0,0,0,4,1
9458,265321,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
9467,172226,0,0,0,0,0,0,5,0,0,0,1,0,0,3,1
